method,n,accepted_pass,accepted_fail,rejected_pass,rejected_fail,unavailable_pass,unavailable_fail,coverage,acceptance_rate,accepted_failure_risk,decided_error_rate,failure_detection_recall,passing_program_rejection_rate,failure_abstention_rate,deployment_block_rate_if_abstentions_block,failures_blocked_if_abstentions_block,pass_programs_blocked_if_abstentions_block
astrogator,416,276,9,0,57,0,74,0.8221153846153846,0.6850961538461539,0.031578947368421054,0.02631578947368421,0.40714285714285714,0.0,0.5285714285714286,0.31490384615384615,0.9357142857142857,0.0
debian_metadata_heuristics,416,276,0,0,66,0,74,0.8221153846153846,0.6634615384615384,0.0,0.0,0.4714285714285714,0.0,0.5285714285714286,0.33653846153846156,1.0,0.0
gpt6,416,276,4,0,136,0,0,1.0,0.6730769230769231,0.014285714285714285,0.009615384615384616,0.9714285714285714,0.0,0.0,0.3269230769230769,0.9714285714285714,0.0
opus55,416,275,9,1,131,0,0,1.0,0.6826923076923077,0.03169014084507042,0.02403846153846154,0.9357142857142857,0.0036231884057971015,0.0,0.3173076923076923,0.9357142857142857,0.0036231884057971015
dsl_gpt6-r0,416,276,1,0,139,0,0,1.0,0.6658653846153846,0.0036101083032490976,0.002403846153846154,0.9928571428571429,0.0,0.0,0.33413461538461536,0.9928571428571429,0.0
dsl_gpt6-r1,416,276,1,0,139,0,0,1.0,0.6658653846153846,0.0036101083032490976,0.002403846153846154,0.9928571428571429,0.0,0.0,0.33413461538461536,0.9928571428571429,0.0
dsl_opus55-r0,416,276,1,0,139,0,0,1.0,0.6658653846153846,0.0036101083032490976,0.002403846153846154,0.9928571428571429,0.0,0.0,0.33413461538461536,0.9928571428571429,0.0
dsl_opus55-r1,416,276,9,0,131,0,0,1.0,0.6850961538461539,0.031578947368421054,0.021634615384615384,0.9357142857142857,0.0,0.0,0.31490384615384615,0.9357142857142857,0.0
python_gpt6-r0,416,276,1,0,139,0,0,1.0,0.6658653846153846,0.0036101083032490976,0.002403846153846154,0.9928571428571429,0.0,0.0,0.33413461538461536,0.9928571428571429,0.0
python_gpt6-r1,416,276,1,0,139,0,0,1.0,0.6658653846153846,0.0036101083032490976,0.002403846153846154,0.9928571428571429,0.0,0.0,0.33413461538461536,0.9928571428571429,0.0
python_opus55-r0,416,200,0,0,11,76,129,0.5072115384615384,0.4807692307692308,0.0,0.0,0.07857142857142857,0.0,0.9214285714285714,0.5192307692307693,1.0,0.2753623188405797
python_opus55-r1,416,218,16,0,76,58,48,0.7451923076923077,0.5625,0.06837606837606838,0.05161290322580645,0.5428571428571428,0.0,0.34285714285714286,0.4375,0.8857142857142857,0.21014492753623187
