label_variant,method,n,accepted_pass,accepted_fail,rejected_pass,rejected_fail,unavailable_pass,unavailable_fail,coverage,acceptance_rate,accepted_failure_risk,decided_error_rate,failure_detection_recall,passing_program_rejection_rate,failure_abstention_rate,deployment_block_rate_if_abstentions_block,failures_blocked_if_abstentions_block,pass_programs_blocked_if_abstentions_block
original,native_syntax,422,283,133,0,6,0,0,1.0,0.985781990521327,0.31971153846153844,0.31516587677725116,0.04316546762589928,0.0,0.0,0.014218009478672985,0.04316546762589928,0.0
original,astrogator,422,282,9,1,56,0,74,0.8246445497630331,0.6895734597156398,0.030927835051546393,0.028735632183908046,0.4028776978417266,0.0035335689045936395,0.5323741007194245,0.3104265402843602,0.935251798561151,0.0035335689045936395
original,astrogator_configured_heuristics,422,277,0,6,65,0,74,0.8246445497630331,0.6563981042654028,0.0,0.017241379310344827,0.4676258992805755,0.02120141342756184,0.5323741007194245,0.34360189573459715,1.0,0.02120141342756184
original,debian_metadata_heuristics,422,282,0,1,65,0,74,0.8246445497630331,0.6682464454976303,0.0,0.0028735632183908046,0.4676258992805755,0.0035335689045936395,0.5323741007194245,0.33175355450236965,1.0,0.0035335689045936395
original,judge,422,270,129,13,10,0,0,1.0,0.9454976303317536,0.3233082706766917,0.33649289099526064,0.07194244604316546,0.045936395759717315,0.0,0.054502369668246446,0.07194244604316546,0.045936395759717315
original,gpt6,422,283,3,0,136,0,0,1.0,0.6777251184834123,0.01048951048951049,0.0071090047393364926,0.9784172661870504,0.0,0.0,0.3222748815165877,0.9784172661870504,0.0
original,opus55,422,281,9,2,130,0,0,1.0,0.6872037914691943,0.03103448275862069,0.026066350710900472,0.935251798561151,0.007067137809187279,0.0,0.3127962085308057,0.935251798561151,0.007067137809187279
strict_integrity,native_syntax,422,282,134,0,6,0,0,1.0,0.985781990521327,0.32211538461538464,0.3175355450236967,0.04285714285714286,0.0,0.0,0.014218009478672985,0.04285714285714286,0.0
strict_integrity,astrogator,422,282,9,0,57,0,74,0.8246445497630331,0.6895734597156398,0.030927835051546393,0.02586206896551724,0.40714285714285714,0.0,0.5285714285714286,0.3104265402843602,0.9357142857142857,0.0
strict_integrity,astrogator_configured_heuristics,422,277,0,5,66,0,74,0.8246445497630331,0.6563981042654028,0.0,0.014367816091954023,0.4714285714285714,0.01773049645390071,0.5285714285714286,0.34360189573459715,1.0,0.01773049645390071
strict_integrity,debian_metadata_heuristics,422,282,0,0,66,0,74,0.8246445497630331,0.6682464454976303,0.0,0.0,0.4714285714285714,0.0,0.5285714285714286,0.33175355450236965,1.0,0.0
strict_integrity,judge,422,269,130,13,10,0,0,1.0,0.9454976303317536,0.3258145363408521,0.33886255924170616,0.07142857142857142,0.04609929078014184,0.0,0.054502369668246446,0.07142857142857142,0.04609929078014184
strict_integrity,gpt6,422,282,4,0,136,0,0,1.0,0.6777251184834123,0.013986013986013986,0.009478672985781991,0.9714285714285714,0.0,0.0,0.3222748815165877,0.9714285714285714,0.0
strict_integrity,opus55,422,281,9,1,131,0,0,1.0,0.6872037914691943,0.03103448275862069,0.023696682464454975,0.9357142857142857,0.0035460992907801418,0.0,0.3127962085308057,0.9357142857142857,0.0035460992907801418
newline_sensitivity,native_syntax,422,290,126,0,6,0,0,1.0,0.985781990521327,0.30288461538461536,0.2985781990521327,0.045454545454545456,0.0,0.0,0.014218009478672985,0.045454545454545456,0.0
newline_sensitivity,astrogator,422,282,9,7,50,1,73,0.8246445497630331,0.6895734597156398,0.030927835051546393,0.04597701149425287,0.3787878787878788,0.02413793103448276,0.553030303030303,0.3104265402843602,0.9318181818181818,0.027586206896551724
newline_sensitivity,astrogator_configured_heuristics,422,277,0,12,59,1,73,0.8246445497630331,0.6563981042654028,0.0,0.034482758620689655,0.44696969696969696,0.041379310344827586,0.553030303030303,0.34360189573459715,1.0,0.04482758620689655
newline_sensitivity,debian_metadata_heuristics,422,282,0,7,59,1,73,0.8246445497630331,0.6682464454976303,0.0,0.020114942528735632,0.44696969696969696,0.02413793103448276,0.553030303030303,0.33175355450236965,1.0,0.027586206896551724
newline_sensitivity,judge,422,277,122,13,10,0,0,1.0,0.9454976303317536,0.3057644110275689,0.31990521327014215,0.07575757575757576,0.04482758620689655,0.0,0.054502369668246446,0.07575757575757576,0.04482758620689655
newline_sensitivity,gpt6,422,283,3,7,129,0,0,1.0,0.6777251184834123,0.01048951048951049,0.023696682464454975,0.9772727272727273,0.02413793103448276,0.0,0.3222748815165877,0.9772727272727273,0.02413793103448276
newline_sensitivity,opus55,422,289,1,1,131,0,0,1.0,0.6872037914691943,0.0034482758620689655,0.004739336492890996,0.9924242424242424,0.0034482758620689655,0.0,0.3127962085308057,0.9924242424242424,0.0034482758620689655
