adduser	3.152
ansible-core	2.19.11-0+deb13u1
apt	3.0.3
base-files	13.8+deb13u7
base-passwd	3.6.7
bash	5.2.37-2+b10
binutils	2.44-3
binutils-common:amd64	2.44-3
binutils-x86-64-linux-gnu	2.44-3
bsdutils	1:2.41.5-0+deb13u1
bubblewrap	0.12.0-1~deb13u1
build-essential	12.12
bzip2	1.0.8-6
ca-certificates	20250419
coreutils	9.7-3
cpp	4:14.2.0-1
cpp-14	14.2.0-19
cpp-14-x86-64-linux-gnu	14.2.0-19
cpp-x86-64-linux-gnu	4:14.2.0-1
cron	3.0pl1-197
cron-daemon-common	3.0pl1-197
curl	8.14.1-2+deb13u5
dash	0.5.12-12
debconf	1.5.91
debian-archive-keyring	2025.1
debianutils	5.23.2
diffutils	1:3.10-4
distro-info-data	0.66+deb13u2
dpkg	1.22.22
dpkg-dev	1.22.22
findutils	4.10.0-3
g++	4:14.2.0-1
g++-14	14.2.0-19
g++-14-x86-64-linux-gnu	14.2.0-19
g++-x86-64-linux-gnu	4:14.2.0-1
gcc	4:14.2.0-1
gcc-14	14.2.0-19
gcc-14-base:amd64	14.2.0-19
gcc-14-x86-64-linux-gnu	14.2.0-19
gcc-x86-64-linux-gnu	4:14.2.0-1
git	1:2.47.3-0+deb13u1
git-man	1:2.47.3-0+deb13u1
grep	3.11-4
gzip	1.13-1+deb13u1
hostname	3.25
ieee-data	20240722
init-system-helpers	1.69~deb13u1
libacl1:amd64	2.3.2-2+b1
libamd3:amd64	1:7.10.1+dfsg-1
libapparmor1:amd64	4.1.0-1
libapt-pkg7.0:amd64	3.0.3
libasan8:amd64	14.2.0-19
libatomic1:amd64	14.2.0-19
libattr1:amd64	1:2.5.2-3
libaudit-common	1:4.0.2-2+deb13u1
libaudit1:amd64	1:4.0.2-2+deb13u1
libbinutils:amd64	2.44-3
libblkid1:amd64	2.41.5-0+deb13u1
libbrotli1:amd64	1.1.0-2+b7
libbsd0:amd64	0.12.2-2
libbz2-1.0:amd64	1.0.8-6
libc-bin	2.41-12+deb13u4
libc-dev-bin	2.41-12+deb13u4
libc6:amd64	2.41-12+deb13u4
libc6-dev:amd64	2.41-12+deb13u4
libcap-ng0:amd64	0.8.5-4+b1
libcap2:amd64	1:2.75-10+deb13u1+b3
libcbor0.10:amd64	0.10.2-2
libcc1-0:amd64	14.2.0-19
libcolamd3:amd64	1:7.10.1+dfsg-1
libcom-err2:amd64	1.47.2-3+b12
libcompiler-libs-ocaml-dev	5.3.0-3
libcrypt-dev:amd64	1:4.4.38-1
libcrypt1:amd64	1:4.4.38-1
libctf-nobfd0:amd64	2.44-3
libctf0:amd64	2.44-3
libcurl3t64-gnutls:amd64	8.14.1-2+deb13u5
libcurl4t64:amd64	8.14.1-2+deb13u5
libdb5.3t64:amd64	5.3.28+dfsg2-9
libdebconfclient0:amd64	0.280
libdpkg-perl	1.22.22
libedit2:amd64	3.1-20250104-1
liberror-perl	0.17030-1
libexpat1:amd64	2.8.3-1~deb13u1
libffi8:amd64	3.4.8-2
libfido2-1:amd64	1.15.0-1+b1
libfindlib-ocaml	1.9.8-1+b1
libfindlib-ocaml-dev	1.9.8-1+b1
libgcc-14-dev:amd64	14.2.0-19
libgcc-s1:amd64	14.2.0-19
libgdbm-compat4t64:amd64	1.24-2
libgdbm6t64:amd64	1.24-2
libglpk40:amd64	5.0-1+b2
libgmp10:amd64	2:6.3.0+dfsg-3
libgnutls30t64:amd64	3.8.9-3+deb13u4
libgomp1:amd64	14.2.0-19
libgprofng0:amd64	2.44-3
libgssapi-krb5-2:amd64	1.21.3-5+deb13u1
libhogweed6t64:amd64	3.10.1-1
libhwasan0:amd64	14.2.0-19
libidn2-0:amd64	2.3.8-2
libisl23:amd64	0.27-1
libitm1:amd64	14.2.0-19
libjansson4:amd64	2.14-2+b3
libk5crypto3:amd64	1.21.3-5+deb13u1
libkeyutils1:amd64	1.6.3-6
libkrb5-3:amd64	1.21.3-5+deb13u1
libkrb5support0:amd64	1.21.3-5+deb13u1
liblastlog2-2:amd64	2.41.5-0+deb13u1
libldap2:amd64	2.6.10+dfsg-1
liblsan0:amd64	14.2.0-19
libltdl7:amd64	2.5.4-4
liblz4-1:amd64	1.10.0-4
liblzma5:amd64	5.8.1-1+deb13u1
libmd0:amd64	1.1.0-2+b1
libmount1:amd64	2.41.5-0+deb13u1
libmpc3:amd64	1.3.1-1+b3
libmpfr6:amd64	4.2.2-1
libncurses-dev:amd64	6.5+20250216-2
libncurses6:amd64	6.5+20250216-2
libncursesw6:amd64	6.5+20250216-2
libnettle8t64:amd64	3.10.1-1
libnghttp2-14:amd64	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	1.8.0-1
libngtcp2-16:amd64	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:amd64	1.11.0-1+deb13u1
libp11-kit0:amd64	0.25.5-3
libpam-modules:amd64	1.7.0-5
libpam-modules-bin	1.7.0-5
libpam-runtime	1.7.0-5
libpam0g:amd64	1.7.0-5
libpcre2-8-0:amd64	10.46-1~deb13u2
libperl5.40:amd64	5.40.1-6+deb13u1
libpkgconf3:amd64	1.8.1-4
libproc2-0:amd64	2:4.0.4-9
libpsl5t64:amd64	0.21.2-1.1+b1
libpython3-stdlib:amd64	3.13.5-1
libpython3.13-minimal:amd64	3.13.5-2+deb13u5
libpython3.13-stdlib:amd64	3.13.5-2+deb13u5
libquadmath0:amd64	14.2.0-19
libreadline8t64:amd64	8.2-6
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2+b5
libsasl2-2:amd64	2.1.28+dfsg1-9
libsasl2-modules-db:amd64	2.1.28+dfsg1-9
libseccomp2:amd64	2.6.0-2
libselinux1:amd64	3.8.1-1
libsemanage-common	3.8.1-1
libsemanage2:amd64	3.8.1-1
libsepol2:amd64	3.8.1-1
libsframe1:amd64	2.44-3
libsmartcols1:amd64	2.41.5-0+deb13u1
libsqlite3-0:amd64	3.46.1-7+deb13u2
libssh2-1t64:amd64	1.11.1-1+deb13u2
libssl3t64:amd64	3.5.7-1~deb13u2
libstdc++-14-dev:amd64	14.2.0-19
libstdc++6:amd64	14.2.0-19
libstdlib-ocaml	5.3.0-3
libstdlib-ocaml-dev	5.3.0-3
libsuitesparseconfig7:amd64	1:7.10.1+dfsg-1
libsystemd-shared:amd64	257.13-1~deb13u1
libsystemd0:amd64	257.13-1~deb13u1
libtasn1-6:amd64	4.20.0-2+deb13u1
libtinfo6:amd64	6.5+20250216-2
libtsan2:amd64	14.2.0-19
libubsan1:amd64	14.2.0-19
libudev1:amd64	257.13-1~deb13u1
libunistring5:amd64	1.3-2
libuuid1:amd64	2.41.5-0+deb13u1
libxxhash0:amd64	0.8.3-2
libyaml-0-2:amd64	0.2.5-2
libyaml-dev:amd64	0.2.5-2
libzstd-dev:amd64	1.5.7+dfsg-1
libzstd1:amd64	1.5.7+dfsg-1
linux-libc-dev	6.12.107-1
login	1:4.16.0-2+really2.41.5-0+deb13u1
login.defs	1:4.17.4-2
make	4.4.1-2
mawk	1.3.4.20250131-1
media-types	13.0.0
mount	2.41.5-0+deb13u1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
netbase	6.5
ocaml	5.3.0-3
ocaml-base	5.3.0-3
ocaml-dune	3.17.2-1+b1
ocaml-findlib	1.9.8-1+b1
ocaml-interp	5.3.0-3
opam	2.3.0-1+deb13u2
opam-installer	2.3.0-1+deb13u2
openssh-client	1:10.0p1-7+deb13u4
openssl	3.5.7-1~deb13u2
openssl-provider-legacy	3.5.7-1~deb13u2
passwd	1:4.17.4-2
patch	2.8-2
perl	5.40.1-6+deb13u1
perl-base	5.40.1-6+deb13u1
perl-modules-5.40	5.40.1-6+deb13u1
pkg-config:amd64	1.8.1-4
pkgconf:amd64	1.8.1-4
pkgconf-bin	1.8.1-4
procps	2:4.0.4-9
python-apt-common	3.0.0
python3	3.13.5-1
python3-apt	3.0.0
python3-bcrypt	4.2.0-2.1+b1
python3-cffi-backend:amd64	1.17.1-3
python3-cryptography	43.0.0-3+deb13u1
python3-dnspython	2.7.0-1
python3-httplib2	0.22.0-1+deb13u1
python3-jinja2	3.1.6-1
python3-markupsafe	2.1.5-1+b3
python3-minimal	3.13.5-1
python3-netaddr	1.3.0-1
python3-packaging	25.0-1
python3-pyparsing	3.1.2-1
python3-resolvelib	1.1.0-1
python3-yaml	6.0.2-1+b2
python3.13	3.13.5-2+deb13u5
python3.13-minimal	3.13.5-2+deb13u5
readline-common	8.2-6
rpcsvc-proto	1.4.3-1
sed	4.9-2+deb13u1
sensible-utils	0.0.25
sqv	1.3.0-3+b2
sudo	1.9.16p2-3+deb13u2
systemd	257.13-1~deb13u1
sysvinit-utils	3.14-4
tar	1.35+dfsg-3.1
tzdata	2026c-0+deb13u1
unzip	6.0-29+deb13u1
util-linux	2.41.5-0+deb13u1
xz-utils	5.8.1-1+deb13u1
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1+b1
