# phase3 ptrcheck standard corpus minus CLI-reject cases; corpus_hash(all)=e445805b9dff0fbbab630ac10c13ac89725d175451618329c594b5403c25644d
exhaustive/n0/r_/w_			
exhaustive/n0/r_/w-1			-1
exhaustive/n0/r_/w0			0
exhaustive/n0/r_/w31			31
exhaustive/n0/r_/w-1,-1			-1,-1
exhaustive/n0/r_/w-1,0			-1,0
exhaustive/n0/r_/w-1,31			-1,31
exhaustive/n0/r_/w0,-1			0,-1
exhaustive/n0/r_/w0,0			0,0
exhaustive/n0/r_/w0,31			0,31
exhaustive/n0/r_/w31,-1			31,-1
exhaustive/n0/r_/w31,0			31,0
exhaustive/n0/r_/w31,31			31,31
exhaustive/n0/r-1/w_		-1	
exhaustive/n0/r-1/w-1		-1	-1
exhaustive/n0/r-1/w0		-1	0
exhaustive/n0/r-1/w31		-1	31
exhaustive/n0/r-1/w-1,-1		-1	-1,-1
exhaustive/n0/r-1/w-1,0		-1	-1,0
exhaustive/n0/r-1/w-1,31		-1	-1,31
exhaustive/n0/r-1/w0,-1		-1	0,-1
exhaustive/n0/r-1/w0,0		-1	0,0
exhaustive/n0/r-1/w0,31		-1	0,31
exhaustive/n0/r-1/w31,-1		-1	31,-1
exhaustive/n0/r-1/w31,0		-1	31,0
exhaustive/n0/r-1/w31,31		-1	31,31
exhaustive/n0/r1/w_		1	
exhaustive/n0/r1/w-1		1	-1
exhaustive/n0/r1/w0		1	0
exhaustive/n0/r1/w31		1	31
exhaustive/n0/r1/w-1,-1		1	-1,-1
exhaustive/n0/r1/w-1,0		1	-1,0
exhaustive/n0/r1/w-1,31		1	-1,31
exhaustive/n0/r1/w0,-1		1	0,-1
exhaustive/n0/r1/w0,0		1	0,0
exhaustive/n0/r1/w0,31		1	0,31
exhaustive/n0/r1/w31,-1		1	31,-1
exhaustive/n0/r1/w31,0		1	31,0
exhaustive/n0/r1/w31,31		1	31,31
exhaustive/n0/r32/w_		32	
exhaustive/n0/r32/w-1		32	-1
exhaustive/n0/r32/w0		32	0
exhaustive/n0/r32/w31		32	31
exhaustive/n0/r32/w-1,-1		32	-1,-1
exhaustive/n0/r32/w-1,0		32	-1,0
exhaustive/n0/r32/w-1,31		32	-1,31
exhaustive/n0/r32/w0,-1		32	0,-1
exhaustive/n0/r32/w0,0		32	0,0
exhaustive/n0/r32/w0,31		32	0,31
exhaustive/n0/r32/w31,-1		32	31,-1
exhaustive/n0/r32/w31,0		32	31,0
exhaustive/n0/r32/w31,31		32	31,31
exhaustive/n0/r-1,-1/w_		-1,-1	
exhaustive/n0/r-1,-1/w-1		-1,-1	-1
exhaustive/n0/r-1,-1/w0		-1,-1	0
exhaustive/n0/r-1,-1/w31		-1,-1	31
exhaustive/n0/r-1,-1/w-1,-1		-1,-1	-1,-1
exhaustive/n0/r-1,-1/w-1,0		-1,-1	-1,0
exhaustive/n0/r-1,-1/w-1,31		-1,-1	-1,31
exhaustive/n0/r-1,-1/w0,-1		-1,-1	0,-1
exhaustive/n0/r-1,-1/w0,0		-1,-1	0,0
exhaustive/n0/r-1,-1/w0,31		-1,-1	0,31
exhaustive/n0/r-1,-1/w31,-1		-1,-1	31,-1
exhaustive/n0/r-1,-1/w31,0		-1,-1	31,0
exhaustive/n0/r-1,-1/w31,31		-1,-1	31,31
exhaustive/n0/r-1,1/w_		-1,1	
exhaustive/n0/r-1,1/w-1		-1,1	-1
exhaustive/n0/r-1,1/w0		-1,1	0
exhaustive/n0/r-1,1/w31		-1,1	31
exhaustive/n0/r-1,1/w-1,-1		-1,1	-1,-1
exhaustive/n0/r-1,1/w-1,0		-1,1	-1,0
exhaustive/n0/r-1,1/w-1,31		-1,1	-1,31
exhaustive/n0/r-1,1/w0,-1		-1,1	0,-1
exhaustive/n0/r-1,1/w0,0		-1,1	0,0
exhaustive/n0/r-1,1/w0,31		-1,1	0,31
exhaustive/n0/r-1,1/w31,-1		-1,1	31,-1
exhaustive/n0/r-1,1/w31,0		-1,1	31,0
exhaustive/n0/r-1,1/w31,31		-1,1	31,31
exhaustive/n0/r-1,32/w_		-1,32	
exhaustive/n0/r-1,32/w-1		-1,32	-1
exhaustive/n0/r-1,32/w0		-1,32	0
exhaustive/n0/r-1,32/w31		-1,32	31
exhaustive/n0/r-1,32/w-1,-1		-1,32	-1,-1
exhaustive/n0/r-1,32/w-1,0		-1,32	-1,0
exhaustive/n0/r-1,32/w-1,31		-1,32	-1,31
exhaustive/n0/r-1,32/w0,-1		-1,32	0,-1
exhaustive/n0/r-1,32/w0,0		-1,32	0,0
exhaustive/n0/r-1,32/w0,31		-1,32	0,31
exhaustive/n0/r-1,32/w31,-1		-1,32	31,-1
exhaustive/n0/r-1,32/w31,0		-1,32	31,0
exhaustive/n0/r-1,32/w31,31		-1,32	31,31
