'CalculusNested.lookup_assocSet_same' depends on axioms: [propext, Quot.sound]
'CalculusNested.lookup_assocSet_other' depends on axioms: [propext, Quot.sound]
'CalculusNested.lookup_assocRemove_same' depends on axioms: [propext, Quot.sound]
'CalculusNested.lookup_assocRemove_other' depends on axioms: [propext, Quot.sound]
'CalculusNested.setAttrAt_same' depends on axioms: [propext, Quot.sound]
'CalculusNested.setAttrAt_frame' depends on axioms: [propext, Quot.sound]
'CalculusNested.getAttrAt_empty' depends on axioms: [propext]
'CalculusNested.addElemAt_attrs' depends on axioms: [propext, Quot.sound]
'CalculusNested.removeElemAt_here_frame' depends on axioms: [propext, Quot.sound]
'CalculusNested.and_skips_rhs' depends on axioms: [propext, Quot.sound]
'CalculusNested.or_skips_rhs' depends on axioms: [propext, Quot.sound]
