carrier_max	(return 4611686018427387903)
overflow_add	(seq (assign m 4611686018427387903) (return (+ (pair m 1))))
overflow_sub	(seq (assign m -4611686018427387903) (return (- (pair m 2))))
overflow_mul	(seq (assign m 3037000500) (return (* (pair m m))))
overflow_neg	(seq (assign m -4611686018427387903) (seq (assign n (- (pair m 1))) (return (neg n))))
div_trunc	(seq (assign a -7) (return (/ (pair a 2))))
mod_sign	(seq (assign a -7) (return (% (pair a 2))))
div_zero	(seq (assign a 7) (seq (assign z 0) (return (/ (pair a z)))))
u8_ok	(seq (set-attr σ small 255) (seq (get $t1 σ small) (return $t1)))
u8_overflow_runtime	(seq (assign x 200) (seq (set-attr σ small (range:0:255 (+ (pair x 100)))) (seq (get $t2 σ small) (return $t2))))
u8_local_annot	(seq (assign x 200) (seq (assign y (range:0:255 (+ (pair x 55)))) (return y)))
u8_local_annot_trap	(seq (assign x 200) (seq (assign y (range:0:255 (+ (pair x 56)))) (return y)))
u8_param	(seq (assign b (range:0:255 ι)) (return b))
u8_param_ok	(seq (action $t3 u8_param 255) (return $t3))
u8_param_trap	(seq (assign x 256) (seq (action $t4 u8_param (range:0:255 x)) (return $t4)))
u64_negative_trap	(seq (assign x 0) (seq (assign z (- (pair x 1))) (seq (assign x (range:0:4611686018427387903 z)) (return x))))
ret_u8_trap	(seq (assign x 300) (return (range:0:255 x)))
ret_u8_ok	(seq (assign x 255) (return (range:0:255 x)))
typed_literal_widths	(seq (assign a 255) (seq (assign b (range:-128:127 (- (pair -127 1)))) (seq (assign c 65535) (return (+ (pair (+ (pair a b)) c))))))
big_attr	(seq (set-attr σ big (- (pair -4611686018427387903 1))) (seq (get $t5 σ big) (return $t5)))
char_lit	(seq (assign c 33) (return c))
